"Storage: File","Speicherung: Dateisystem"
"Storage Directory","Speicherungs-Verzeichnis"
"Directory ""%s"" could not be created.","Das Verzeichnis ""%s"" konnte nicht erstellt werden."
"Directory ""%s"" is not writable.","Das Verzeichnis ""%s"" ist nicht beschreibbar."
"File ""%s"" could not be written.","Die Datei ""%s"" konnte nicht geschrieben werden."
"Content: CMS Block","Inhalt: CMS-Blöcke"
"Content: CMS Page","Inhalt: CMS-Seiten"
"Storage","Speicherung"
"Trigger data storage","Speicherung ausführen"
"File","Datei"
"Disabled","Deaktiviert"
"Automatically","Automatisch"
"Manually","Manuell"
