"Storage: File","Speicherung: Dateisystem"
"Storage Directory","Speicherungs-Verzeichnis"
"Directory ""%s"" could not be created.","Das Verzeichnis ""%s"" konnte nicht erstellt werden."
"Directory ""%s"" is not writable.","Das Verzeichnis ""%s"" ist nicht beschreibbar."
"File ""%s"" could not be written.","Die Datei ""%s"" konnte nicht geschrieben werden."
"Content: Store View","Inhalt: Store Views"
"Content: CMS Block","Inhalt: CMS-Blöcke"
"Content: CMS Page","Inhalt: CMS-Seiten"
"Content: Email Template","Inhalt: Email-Templates"
"Storage","Speicherung"
"Trigger data storage","Speicherung ausführen"
"File","Datei"
"Disabled","Deaktiviert"
"Automatically","Automatisch"
"Manually","Manuell"

"Changes on %s","Änderungen bei %s"
"Content Sync set to manual export.","Content Sync ist auf manuellen Export eingestellt."
"Start Export","Export starten"
"Close","Schließen"
"Store Views","Store Views"
"Static Blocks","Statische Blocks"
"CMS Pages","CMS-Seiten"
"Email Templates","Email Templates"
"Configuration","Konfiguration"
